Team,Player Name,Year,,,,,
India,MS Dhoni,2007,,,,,
Pakistan,Shoaib Malik,2007,,,,,
Australia,Ricky Ponting,2007,,,,,
South Africa,Graeme Smith,2007,,,,,
England,Paul Collingwood,2007,,,,,
New Zealand,Daniel Vettori,2007,,,,,
Sri Lanka,Mahela Jayawardene,2007,,,,,
Bangladesh,Mohammad Ashraful,2007,,,,,
West Indies,Ramnaresh Sarwan,2007,,,,,
Zimbabwe,Prosper Utseya,2007,,,,,
Kenya,Steve Tikolo,2007,,,,,
Scotland,Ryan Watson,2007,,,,,
Ireland,-,2007,,,,,
Afghanistan,-,2007,,,,,
Netherlands,-,2007,,,,,
Nepal,-,2007,,,,,
Hong Kong,-,2007,,,,,
Oman,-,2007,,,,,
USA,-,2007,,,,,
United Arab Emirates,-,2007,,,,,
PNG,-,2007,,,,,
Canada,-,2007,,,,,
Uganda,-,2007,,,,,
Namibia,-,2007,,,,,
India,MS Dhoni,2009,,,,,
Pakistan,Younis Khan,2009,,,,,
Australia,Ricky Ponting,2009,,,,,
South Africa,Graeme Smith,2009,,,,,
England,Paul Collingwood,2009,,,,,
New Zealand,Daniel Vettori,2009,,,,,
Sri Lanka,Kumar Sangakkara,2009,,,,,
Bangladesh,Mohammad Ashraful,2009,,,,,
West Indies,Chris Gayle,2009,,,,,
Zimbabwe,-,2009,,,,,
Kenya,-,2009,,,,,
Scotland,Gavin Hamilton,2009,,,,,
Ireland,William Porterfield,2009,,,,,
Afghanistan, Jeroen Smits,2009,,,,,
Netherlands,-,2009,,,,,
Nepal,-,2009,,,,,
Hong Kong,-,2009,,,,,
Oman,-,2009,,,,,
USA,-,2009,,,,,
United Arab Emirates,-,2009,,,,,
PNG,-,2009,,,,,
Canada,-,2009,,,,,
Uganda,-,2009,,,,,
Namibia,-,2009,,,,,
India,MS Dhoni,2010,,,,,
Pakistan,Shahid Afridi,2010,,,,,
Australia,Michael Clarke,2010,,,,,
South Africa,Graeme Smith,2010,,,,,
England,Paul Collingwood,2010,,,,,
New Zealand,Daniel Vettori,2010,,,,,
Sri Lanka,Kumar Sangakkara,2010,,,,,
Bangladesh,Shakib Al Hasan,2010,,,,,
West Indies,Chris Gayle,2010,,,,,
Zimbabwe,Prosper Utseya,2010,,,,,
Kenya,-,2010,,,,,
Scotland,-,2010,,,,,
Ireland,William Porterfield,2010,,,,,
Afghanistan,Nowroz Mangal,2010,,,,,
Netherlands,-,2010,,,,,
Nepal,-,2010,,,,,
Hong Kong,-,2010,,,,,
Oman,-,2010,,,,,
USA,-,2010,,,,,
United Arab Emirates,-,2010,,,,,
PNG,-,2010,,,,,
Canada,-,2010,,,,,
Uganda,-,2010,,,,,
Namibia,-,2010,,,,,
India,MS Dhoni,2012,,,,,
Pakistan,Mohammad Hafeez,2012,,,,,
Australia,George Bailey,2012,,,,,
South Africa,AB de Villiers,2012,,,,,
England,Stuart Broad,2012,,,,,
New Zealand,Ross Taylor,2012,,,,,
Sri Lanka,Mahela Jayawardene,2012,,,,,
Bangladesh,Mushfiqur Rahim,2012,,,,,
West Indies,Darren Sammy,2012,,,,,
Zimbabwe,Brendan Taylor,2012,,,,,
Kenya,-,2012,,,,,
Scotland,-,2012,,,,,
Ireland,William Porterfield,2012,,,,,
Afghanistan,Mohammad Nabi,2012,,,,,
Netherlands,-,2012,,,,,
Nepal,-,2012,,,,,
Hong Kong,-,2012,,,,,
Oman,-,2012,,,,,
USA,-,2012,,,,,
United Arab Emirates,-,2012,,,,,
PNG,-,2012,,,,,
Canada,-,2012,,,,,
Uganda,-,2012,,,,,
Namibia,-,2012,,,,,
India,MS Dhoni,2014,,,,,
Pakistan,Mohammad Hafeez,2014,,,,,
Australia,George Bailey,2014,,,,,
South Africa,Faf du Plessis,2014,,,,,
England,,2014,,,,,
New Zealand,Brendon McCullum,2014,,,,,
Sri Lanka,Lasith Malinga,2014,,,,,
Bangladesh,Mushfiqur Rahim,2014,,,,,
West Indies,Darren Sammy,2014,,,,,
Zimbabwe,Brendan Taylor,2014,,,,,
Kenya,-,2014,,,,,
Scotland,-,2014,,,,,
Ireland,William Porterfield,2014,,,,,
Afghanistan,Mohammad Nabi,2014,,,,,
Netherlands,Peter Borren,2014,,,,,
Nepal,Paras Khadka,2014,,,,,
Hong Kong,Jamie Atkinson,2014,,,,,
Oman,-,2014,,,,,
USA,-,2014,,,,,
United Arab Emirates,-,2014,,,,,
PNG,-,2014,,,,,
Canada,-,2014,,,,,
Uganda,-,2014,,,,,
Namibia,-,2014,,,,,
India,MS Dhoni,2016,,,,,
Pakistan,Shahid Afridi,2016,,,,,
Australia,Steve Smith,2016,,,,,
South Africa,Faf du Plessis,2016,,,,,
England,Eoin Morgan,2016,,,,,
New Zealand,Kane Williamson,2016,,,,,
Sri Lanka,Angelo Mathews,2016,,,,,
Bangladesh,Mashrafe Mortaza,2016,,,,,
West Indies,Darren Sammy,2016,,,,,
Zimbabwe,Hamilton Masakadza,2016,,,,,
Kenya,,2016,,,,,
Scotland,Preston Mommsen,2016,,,,,
Ireland,William Porterfield,2016,,,,,
Afghanistan,Asghar Stanikzai,2016,,,,,
Netherlands,Peter Borren,2016,,,,,
Nepal,,2016,,,,,
Hong Kong,Tanwir Afzal,2016,,,,,
Oman,Sultan Ahmed,2016,,,,,
USA,-,2016,,,,,
United Arab Emirates,-,2016,,,,,
PNG,-,2016,,,,,
Canada,-,2016,,,,,
Uganda,-,2016,,,,,
Namibia,-,2016,,,,,
India,Virat Kohli,2021,,,,,
Pakistan,Babar Azam,2021,,,,,
Australia,Aaron Finch,2021,,,,,
South Africa,Temba Bavuma,2021,,,,,
England,Eoin Morgan,2021,,,,,
New Zealand,Kane Williamson,2021,,,,,
Sri Lanka,Dasun Shanaka,2021,,,,,
Bangladesh,Mahmudullah,2021,,,,,
West Indies,Kieron Pollard,2021,,,,,
Zimbabwe,,2021,,,,,
Kenya,,2021,,,,,
Scotland,Kyle Coetzer,2021,,,,,
Ireland,Andy Balbirnie,2021,,,,,
Afghanistan,Mohammad Nabi,2021,,,,,
Netherlands,Pieter Seelaar,2021,,,,,
Nepal,-,2021,,,,,
Hong Kong,-,2021,,,,,
Oman,Zeeshan Maqsood,2021,,,,,
USA,-,2021,,,,,
United Arab Emirates,-,2021,,,,,
PNG,Assad Vala,2021,,,,,
Canada,-,2021,,,,,
Uganda,-,2021,,,,,
Namibia,Gerhard Erasmus,2021,,,,,
India,Rohit Sharma,2022,,,,,
Pakistan,Babar Azam,2022,,,,,
Australia,Aaron Finch,2022,,,,,
South Africa,Temba Bavuma,2022,,,,,
England,Jos Buttler,2022,,,,,
New Zealand,Kane Williamson,2022,,,,,
Sri Lanka,Dasun Shanaka,2022,,,,,
Bangladesh,Shakib Al Hasan,2022,,,,,
West Indies,Nicholas Pooran,2022,,,,,
Zimbabwe,Craig Ervine,2022,,,,,
Kenya,,2022,,,,,
Scotland,Richie Berrington,2022,,,,,
Ireland,Andy Balbirnie,2022,,,,,
Afghanistan,Mohammad Nabi,2022,,,,,
Netherlands,Scott Edwards,2022,,,,,
Nepal,-,2022,,,,,
Hong Kong,-,2022,,,,,
Oman,-,2022,,,,,
USA,-,2022,,,,,
United Arab Emirates,Chundangapoyil Rizwan,2022,,,,,
PNG,-,2022,,,,,
Canada,-,2022,,,,,
Uganda,-,2022,,,,,
Namibia,Gerhard Erasmus,2022,,,,,
India,Rohit Sharma,2024,,,,,
Pakistan,Babar Azam,2024,,,,,
Australia,Mitchell Marsh,2024,,,,,
South Africa,Aiden Markram,2024,,,,,
England,Jos Buttler,2024,,,,,
New Zealand,Kane Williamson,2024,,,,,
Sri Lanka,Wanindu Hasaranga,2024,,,,,
Bangladesh,Najmul Hossain Shanto,2024,,,,,
West Indies,Rovman Powell,2024,,,,,
Zimbabwe,-,2024,,,,,
Kenya,-,2024,,,,,
Scotland,Richie Berrington,2024,,,,,
Ireland,Paul Stirling,2024,,,,,
Afghanistan,Rashid Khan,2024,,,,,
Netherlands,Scott Edwards,2024,,,,,
Nepal,Rohit Paudel,2024,,,,,
Hong Kong,-,2024,,,,,
Oman,Aqib Ilyas,2024,,,,,
USA,Monank Patel,2024,,,,,
United Arab Emirates,-,2024,,,,,
PNG,Assadollah Vala,2024,,,,,
Canada,Saad Bin Zafar,2024,,,,,
Uganda,Brian Masaba,2024,,,,,
Namibia,Gerhard Erasmus,2024,,,,,
